Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_day,Journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute
3,0,5,18,-0.9314977846815518,0,8,3897,1.2372875443930045,-1.467402274302725,1.6541537554297499,-0.2349498988144083,-1.8004362825908193,-0.8900138993373513
1,3,0,84,-0.38995277801866,2,8,7662,-1.4753072909844558,0.2502889310122395,-1.303113259716792,1.363607310826044,-0.05090913272331787,-0.5870944004454735
4,2,1,118,0.9786791479111936,2,8,13882,-0.5317960438966435,1.1091345336697218,-0.607285726741135,0.031476302792333745,-1.363054495123944,0.018744597338282272
3,3,0,91,-0.6262633263806492,1,8,6218,-0.1779793262387139,0.2502889310122395,0.958326222454093,-1.0342285036346344,1.4070301588329333,0.3216640962301601
3,0,5,29,-0.7050335091679788,1,8,13302,-1.4753072909844558,-1.467402274302725,0.6104124559662646,1.363607310826044,1.1154423005216831,0.624583595122038
8,3,0,64,-0.9807291489236328,0,8,3873,1.2372875443930045,1.1091345336697218,-0.607285726741135,-1.3006547052413766,-0.3424969910345681,0.018744597338282272
4,0,5,5,0.5651356882777127,1,5,11087,-0.1779793262387139,-1.467402274302725,0.958326222454093,1.630033512432786,-0.4882909201901932,0.018744597338282272
4,0,5,5,1.2248359691215989,1,8,22270,-1.4753072909844558,-1.467402274302725,-0.7812426099850492,-1.3006547052413766,-1.2172605659683189,-1.1929333982292292
4,0,5,5,1.7466884300876582,1,5,11087,-0.1779793262387139,-1.467402274302725,-0.7812426099850492,1.630033512432786,-0.4882909201901932,0.018744597338282272
6,2,1,104,-0.34072141377657894,1,8,8625,1.5911042620509341,0.2502889310122395,-0.2593719602533066,0.031476302792333745,0.8238544422104329,-0.5870944004454735
1,2,1,103,0.2992863213704749,1,8,8907,-1.4753072909844558,1.1091345336697218,-0.607285726741135,1.097181109219302,1.4070301588329333,-1.4958528971211071
3,3,0,64,-0.9610366032268004,0,8,4174,0.5296541090771453,-0.6085566716452427,1.3062399889419214,-0.2349498988144083,1.2612362296773083,1.8362615906895494
1,1,4,127,-1.0004216946204652,0,8,4667,1.2372875443930045,1.1091345336697218,-0.2593719602533066,0.8307549076125599,-0.05090913272331787,1.8362615906895494
4,3,0,66,0.17128477434106415,1,5,9663,-0.5317960438966435,0.2502889310122395,1.4801968721858356,-0.7678023020278925,-0.6340848493458183,-0.2841749015535956
3,3,0,64,-0.9610366032268004,0,8,4804,1.2372875443930045,-0.6085566716452427,0.7843693392101788,-0.5013761004211503,0.8238544422104329,1.5333420917976717
1,2,1,97,1.874689977117069,2,8,14011,-1.2394294792125027,-1.467402274302725,0.6104124559662646,0.8307549076125599,0.8238544422104329,-0.5870944004454735
8,2,1,123,-0.7345723277132274,1,8,5830,0.1758373914192157,-0.6085566716452427,-0.7812426099850492,1.097181109219302,-0.05090913272331787,-0.5870944004454735
